,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
10641,TSC-0,2.7182494999999998,218.18181818,57.8078585,0.34278486142258024,3.3039968460716915,0.019591801710165682,1.3186791906150963
10642,TSC-0,2.7182494999999998,240.0,37.043395,0.0226344880657736,2.117207995999157,0.0012936697383760564,1.3186791906150963
10643,TSC-0,2.7182494999999998,266.66666667,24.1372065,0.13540599884975266,1.3795573165710877,0.007739103380533931,1.3186791906150963
10644,TSC-0,2.7182494999999998,300.0,15.246116500000001,0.020727421076920743,0.8713888066073503,0.0011846716976263813,1.3186791906150963
10645,TSC-0,2.7182494999999998,342.85714286,8.6186385,0.03150938527645427,0.4925965977693509,0.0018009127526331253,1.3186791906150963
10646,TSC-0,2.7182494999999998,400.0,4.3198575,0.04044580077708886,0.24690061050227524,0.002311671832720574,1.3186791906150963
10647,TSC-0,7.3888803,200.0,133.9976985,0.1285074650924883,7.658612249489668,0.007344819032904259,1.3186791906150963
10648,TSC-0,7.3888803,218.18181818,102.79068,0.047206448712020455,5.8749812108255925,0.0026980753431424553,1.3186791906150963
10649,TSC-0,7.3888803,240.0,71.830016,0.000479418397654968,4.10543051542515,2.740106474921896e-05,1.3186791906150963
10650,TSC-0,7.3888803,266.66666667,47.686904,0.050600561261713,2.7255356711566048,0.002892065182074477,1.3186791906150963
10651,TSC-0,7.3888803,300.0,30.9414315,0.20386524897711106,1.768451465624579,0.011651878431787869,1.3186791906150963
10652,TSC-0,7.3888803,342.85714286,19.0245575,0.1995660397474988,1.0873448629464373,0.011406157969140976,1.3186791906150963
10653,TSC-0,7.3888803,400.0,10.6444825,0.1796030011010389,0.6083833153595424,0.010265174399823915,1.3186791906150963
10654,TSC-0,20.0848201,200.0,163.11477299999999,0.30064059015708033,9.32279294760071,0.01718305412888125,1.3186791906150963
10655,TSC-0,20.0848201,218.18181818,140.15481749999998,0.11148457644219414,8.010521181679017,0.00637187916156348,1.3186791906150963
10656,TSC-0,20.0848201,240.0,113.15111200000001,0.3802947548441776,6.467129675414367,0.021735672332210274,1.3186791906150963
10657,TSC-0,20.0848201,266.66666667,84.339123,0.2624766229628788,4.820386079384907,0.015001800048290841,1.3186791906150963
10658,TSC-0,20.0848201,300.0,58.902568,0.36963017037033497,3.366564753432672,0.021126140092467043,1.3186791906150963
10659,TSC-0,20.0848201,342.85714286,39.1794215,0.08913858794315484,2.2392921728265267,0.005094698559495428,1.3186791906150963
10660,TSC-0,20.0848201,400.0,24.2714365,0.13557429026367726,1.3872292059673743,0.0077487220433809095,1.3186791906150963
10661,TSC-0,54.5955522,200.0,179.34405149999998,0.16359410357497794,10.250374186023842,0.009350188992862659,1.3186791906150963
10662,TSC-0,54.5955522,218.18181818,164.188503,0.453920127114876,9.384161775742523,0.0259437160841366,1.3186791906150963
10663,TSC-0,54.5955522,240.0,143.782568,0.2897242756691403,8.217864551963785,0.016559134309417117,1.3186791906150963
10664,TSC-0,54.5955522,266.66666667,119.97051399999998,0.5817381630957448,6.856891262934427,0.033249130931011,1.3186791906150963
10665,TSC-0,54.5955522,300.0,94.5709745,0.5586263779526419,5.405185550644922,0.0319281813715345,1.3186791906150963
